day.collected,month.collected,day.processed,month.processed,year,outplant.treatment,outplant.transect,researcher.initials,site,shoot.id,shoot.length,sheath.length,no.leaves,leaf.no,leaf.length,lesion.pc,lesion.present,grazing.scar.pc,broken.tip,below.sheath,lv.egg.case,botrylloides.pc,spirochete.worm,tissue.sample,notes
14,may,15,may,2018,NA,mid,FS,aquavitae,32,30,8.5,6,4,10.5,0,0,5,1,0,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,32,30,8.5,6,5,14.5,10,1,10,1,1,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,32,30,8.5,6,6,17,1,1,0,0,1,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,33,40.5,9.5,6,1,2.5,0,0,0,0,0,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,33,40.5,9.5,6,2,15.5,0,0,0,0,0,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,33,40.5,9.5,6,3,28.5,0,0,3,0,0,,0,NA,1
14,may,15,may,2018,NA,mid,FS,aquavitae,33,40.5,9.5,6,4,31,0,0,2,0,0,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,33,40.5,9.5,6,5,26.5,0,0,0,1,0,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,33,40.5,9.5,6,6,22,1,1,1,0,1,1,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,34,25,6,4,1,8,0,0,0,0,0,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,34,25,6,4,2,16.5,0,0,0,0,0,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,34,25,6,4,3,19,1,1,2,0,0,0,0,NA,1
14,may,15,may,2018,NA,mid,FS,aquavitae,34,25,6,4,4,15.5,5,1,5,0,1,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,35,30,8,6,1,8.5,0,0,0,0,0,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,35,30,8,6,2,20,0,0,0,0,0,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,35,30,8,6,3,22,0,0,10,1,0,0,0,NA,1
14,may,15,may,2018,NA,mid,FS,aquavitae,35,30,8,6,4,11.5,1,1,20,1,1,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,35,30,8,6,5,17,5,1,10,1,1,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,35,30,8,6,6,17,10,1,10,0,1,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,36,28,8,6,1,5,0,0,0,0,0,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,36,28,8,6,2,14,0,0,0,0,0,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,36,28,8,6,3,20,0,0,0,0,0,0,0,NA,1
14,may,15,may,2018,NA,mid,FS,aquavitae,36,28,8,6,4,19.5,0,0,1,0,0,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,36,28,8,6,5,16,5,1,0,0,1,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,36,28,8,6,6,10.5,5,1,1,0,1,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,37,34,9,5,1,9,0,0,0,0,0,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,37,34,9,5,2,20.5,0,0,0,0,0,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,37,34,9,5,3,25,0,0,2,0,0,1,0,NA,1
14,may,15,may,2018,NA,mid,FS,aquavitae,37,34,9,5,4,14.5,0,0,1,0,1,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,37,34,9,5,5,16.5,3,1,2,1,1,5,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,38,28,8,6,1,2,0,0,0,0,0,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,38,28,8,6,2,9.5,0,0,0,0,0,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,38,28,8,6,3,17,0,0,0,0,0,0,0,NA,1
14,may,15,may,2018,NA,mid,FS,aquavitae,38,28,8,6,4,20,0,0,2,0,0,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,38,28,8,6,5,17.5,0,0,0,0,1,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,38,28,8,6,6,8.5,1,1,0,1,1,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,39,33.5,8.5,7,1,1.5,0,0,0,0,0,0,0,NA,0
